代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	
000001	平安银行	0.77	16.99	0.13	16.98	16.99	784557	17451	0.06	          0.40	16.77	17.03	16.67	16.86	     8.49	132684.89	  0.56	银行	深圳	2.14	
000002	万 科Ａ	1.71	20.85	0.35	20.84	20.85	1409923	10069	-0.13	          1.45	20.42	21.19	19.90	20.50	    10.89	291143.60	  1.42	全国地产	深圳	6.29	
000004	国华网安	-1.48	22.56	-0.34	22.55	22.56	79297	2881	0.09	          6.82	22.52	22.98	22.22	22.90	    78.24	17911.01	  0.61	软件服务	深圳	3.32	
000005	ST星源	0.90	2.25	0.02	2.24	2.25	72251	563	0.00	          0.68	2.24	2.26	2.22	2.23	     9.20	1617.79	  0.68	环境保护	深圳	1.79	
000006	深振业Ａ	0.22	4.55	0.01	4.55	4.56	62114	433	-0.21	          0.46	4.54	4.57	4.46	4.54	     8.20	2813.01	  0.76	区域地产	深圳	2.42	
000007	*ST全新	0.90	6.69	0.06	6.68	6.69	22493	831	0.15	          0.73	6.70	6.77	6.60	6.63	0.0  	1500.23	  0.48	酒店餐饮	深圳	2.56	
000008	神州高铁	-0.75	2.65	-0.02	2.64	2.65	428579	6609	0.00	          1.59	2.67	2.70	2.63	2.67	0.0  	11387.62	  0.95	运输设备	北京	2.62	
000009	中国宝安	-0.81	13.45	-0.11	13.45	13.46	432395	5958	0.15	          1.69	13.50	13.58	13.31	13.56	    29.15	57964.76	  0.75	电气设备	深圳	1.99	
000010	美丽生态	0.28	3.59	0.01	3.58	3.59	57378	1278	0.00	          1.10	3.59	3.61	3.52	3.58	   101.98	2046.66	  0.94	建筑工程	深圳	2.51	
000011	深物业A	0.09	11.30	0.01	11.30	11.31	25310	272	-0.08	          0.48	11.27	11.37	11.17	11.29	     6.52	2859.75	  0.74	区域地产	深圳	1.77	
000012	南 玻Ａ	-0.32	9.39	-0.03	9.39	9.40	217147	1377	-0.10	          1.11	9.46	9.51	9.30	9.42	    14.32	20377.88	  1.11	玻璃	深圳	2.23	
000014	沙河股份	-0.47	8.41	-0.04	8.40	8.42	21354	252	0.36	          1.06	8.38	8.70	8.32	8.45	0.0  	1796.67	  0.43	全国地产	深圳	4.50	
000016	深康佳Ａ	-0.49	6.06	-0.03	6.05	6.06	50133	414	0.17	          0.31	6.08	6.10	6.03	6.09	0.0  	3037.78	  0.70	家用电器	深圳	1.15	
000017	深中华A	-0.28	3.51	-0.01	3.51	3.52	24901	549	0.00	          0.82	3.50	3.53	3.46	3.52	   747.73	870.66	  0.88	文教休闲	深圳	1.99	
